news_organization_name,ranking_date,ranking,article_title,reporter_name,article_section,monthly_article_count
서울신문,20240726,4,"“중국 관광객이 다 훔쳐간다”…제주 찾은 中틱톡커, 발끈했다 ‘민망’",김민지 기자,사회,93
서울신문,20240726,5,"“질식으로 뇌 손상”…태권도장서 숨진 5살, 안타까운 부검 결과 나왔다",김민지 기자,사회,93
서울신문,20240726,6,넥워머 두르는 순간 ‘펑’…“얼굴에 끈적한 물질 달라붙어” 예비신부 눈물,김민지 기자,사회,93
서울신문,20240726,7,“좌석은 선착순입니다” 알아서 앉으라던 항공사…50년만에 결국,윤예림 기자,세계,0
서울신문,20240726,8,“중국이 쳐들어온다” 눈물 터뜨린 대만인들…‘침공’ 드라마에 불안감,권윤희 기자,세계,189
서울신문,20240726,9,위메프 1400명 환불 완료…“우린 왜 안돼!” 티몬엔 수백명 몰려 ‘험악’,권윤희 기자,경제,189
서울신문,20240726,10,"황선우 “완전 사우나”…에어컨 없는 선수촌 양호, 문제는 ‘버스’",서진솔 기자,세계,123
서울신문,20240727,1,“좌석은 선착순입니다” 알아서 앉으라던 항공사…50년만에 결국,윤예림 기자,세계,0
서울신문,20240727,2,선수단 전원에 ‘갤럭시’…삼성家 파리 올림픽 개회식 ‘포착’,김유민 기자,경제,0
서울신문,20240727,3,"“초5男, 수업 중 가위로 친구 귓불 싹둑…아파하는데 ‘깔깔’”",이보희 기자,사회,172
서울신문,20240727,4,男배우 엉덩이 만지며 “손이 호강”…논란 일자 결국 사과,류재민 기자,사회,121
서울신문,20240727,5,"‘시청역 역주행 참사’ 결정적 단서, 운전자 신발서 나왔다",조희선 기자,사회,187
서울신문,20240727,6,"“창문 못열게 테이프로…” 충격 폭로한 황선우 등, 선수촌 나왔다",윤예림 기자,세계,0
서울신문,20240727,7,"“상처가 없네?”…트럼프가 맞은 건 ‘총알’인가 ‘파편인가’, 진실은? [핫이슈]",송현서 기자,세계,90
서울신문,20240727,8,“한여름에 점퍼가 웬말”…이란 새 대통령 ‘패션센스’ 논란,윤예림 기자,세계,0
서울신문,20240727,9,파리 이케아 간 스웨덴 선수들…“문제는 골판지 침대 아닌 매트리스”,이보희 기자,세계,172
서울신문,20240727,10,3살 딸 앞에서 “형부 폰 뺏어” “소금 뿌려” 격렬 몸싸움…父도 책임,이보희 기자,사회,172
서울신문,20240728,1,美무속인과 결혼 발표한 ‘사랑꾼’ 공주에…노르웨이 ‘발칵’,하승연 기자,세계,184
서울신문,20240728,2,“무슨 맛이지?”…산에서 주운 40년 된 콜라 마신 日 등산객 화제,류재민 기자,세계,121
서울신문,20240728,3,“포상금 10억·평생 철도이용권”…金 땄더니 ‘잭팟’ 터졌다,하승연 기자,세계,184
서울신문,20240728,4,"“아쉽게도 빗나갔다”… 이지훈, 박슬기 ‘갑질’ 의혹 부인",문경근 기자,사회,136
서울신문,20240728,5,결국 사과받은 윤석열 대통령…IOC ‘북한 오기 사태’에 “재발 방지 약속”,서진솔 기자,세계,123
서울신문,20240728,6,"펜싱 오상욱, 한국 선수단 첫 금…남자 사브르 개인전 정상",류재민 기자,세계,121
서울신문,20240728,7,동메달 김우민 감격의 눈물…박태환 이후 12년 만의 메달,류재민 기자,세계,121
서울신문,20240728,8,한강에서 팔에 5kg 아령 묶인 시신 발견… 경찰 수사 중,문경근 기자,사회,136
서울신문,20240728,9,‘1000만 탈모인’ 환호…‘가장 안전한’ 모발성장 촉진 물질 발견 [핵잼 사이언스],송현서 기자,IT,90
서울신문,20240728,10,"‘아이언맨’ 로버트 다우니 주니어, 마블 컴백한다(영상)",신진호 기자,생활,75
서울신문,20240729,1,콘돔 안 껴도 에이즈 걱정 끝? 여성 5000명 효과 검증한 ‘연 2회 주사’,이정수 기자,세계,168
서울신문,20240729,2,"“대기업 커플, 평균 연봉 1억 넘는데…돈 없어서 결혼 고민”",이보희 기자,경제,172
서울신문,20240729,3,“이건 얻다 쓰죠?” 오상욱이 금메달과 받은 ‘골드 박스’ 정체는,조희선 기자,세계,187
서울신문,20240729,4,“뺨 때리고 욕” 갑질배우 지목…박슬기·이지훈 입 열었다,김유민 기자,사회,0
서울신문,20240729,5,"핀잔줬다고 5분간 80회 폭행해 살해한 20대, 징역 23년",문경근 기자,사회,136
서울신문,20240729,6,“올림픽 안 봐요” 도쿄 때와 달랐다…‘시청률 0%대’ 무슨 일,윤예림 기자,생활,0
서울신문,20240729,7,"“정말 분하다” 2분간 절규…日유도 국민여동생, 패배 뒤 태도 어땠길래",김민지 기자,세계,93
서울신문,20240729,8,“청소 부탁합니다”…‘아령 묶인 시신’ 거주 고시원서 ‘10만원’과 메모 발견,이보희 기자,사회,172
서울신문,20240729,9,"[속보] 16세 반효진, 공기소총 10ｍ 금…韓 하계올림픽 100호",권윤희 기자,세계,189
서울신문,20240729,10,"‘세계 최강’ 한국 여자 양궁, 중국 넘고 올림픽 역사…단일종목 10연패",서진솔 기자,세계,123
서울신문,20240730,1,콘돔 안 껴도 에이즈 걱정 끝? 여성 5000명 효과 검증한 ‘연 2회 주사’,이정수 기자,세계,168
서울신문,20240730,2,타국 경기 중 “사랑하세요” 한글 포착…‘타투’ 새긴 선수 정체,윤예림 기자,세계,0
서울신문,20240730,3,파리올림픽 ‘성기노출男’ 진짜 정체… “억울하겠다” 여론 확산 [넷만세],이정수 기자,세계,168
서울신문,20240730,4,"“대기업 커플, 평균 연봉 1억 넘는데…돈 없어서 결혼 고민”",이보희 기자,경제,172
서울신문,20240730,5,"‘그래도 파리 하늘에 태극기’ 허미미, 적극 공세에도 위장 공격 판정으로 금메달 놓쳐",홍지민 기자,세계,111
서울신문,20240730,6,“팔 내릴 수 없었다” 입술에 벌 앉았는데…침착하게 ‘10점’ 쏜 김제덕,김민지 기자,세계,93
서울신문,20240730,7,“옷 어떻게 갈아입으라고” 커튼 없는 선수촌…씻을 때마다 ‘당혹’,김민지 기자,세계,93
서울신문,20240730,8,"日선수 향해 “파이팅” 포효…심판, 김제덕에게 다가오더니",김민지 기자,세계,93
서울신문,20240730,9,허미미 ‘위장공격’ 반칙패…金 딴 선수도 웃지 못했다 “유도 변해야”,김민지 기자,세계,93
서울신문,20240730,10,‘80㎝ 일본도’ 휘둘러 아파트 주민 살해…30대男 긴급 체포,김민지 기자,사회,93
서울신문,20240731,1,“쌀 일찍 동날 수도” 마트 갔더니 ‘충격’…맛있다던 日쌀 결국,윤예림 기자,세계,0
서울신문,20240731,2,너무 멀쩡한 트럼프 ‘귀’…“흉터도 없어” 진실 논란 가열,김유민 기자,세계,0
서울신문,20240731,3,연수입 ‘9000억’ 세계 1위 유튜버…동료 성범죄·조작 논란,김유민 기자,세계,0
서울신문,20240731,4,돈 많다더니 빈털터리…20살 많은 남편 살해한 어린 신부[사건파일],김유민 기자,사회,0
서울신문,20240731,5,“50 넘은 한국 남편이 4살 딸 성폭행”…외국인 아내 ‘울분’,김유민 기자,사회,0
서울신문,20240731,6,“광고 줘라” 경기 중 깜짝 등장한 ‘신유빈 먹방’ 화제,하승연 기자,세계,184
서울신문,20240731,7,속으로 울었다는 황선우 “나도 이해 안 돼…수영 인생 돌아봐”,윤예림 기자,세계,0
서울신문,20240731,8,“신유빈 업고 다녀라” 입대 3주 앞두고 동메달…병역 면제된 임종훈,김민지 기자,세계,93
서울신문,20240731,9,"“기자가 발로 밟았다” 탁구채 부러져…中금메달리스트, 개인전 앞두고 ‘분노’",김민지 기자,세계,93
서울신문,20240731,10,"[단독] 왼손엔 핸들, 오른손엔 폰… 달리는 흉기 된 스몸비족 [안녕, 스마트폰]",곽진웅 외 2명,사회,0
서울신문,20240801,1,연수입 ‘9000억’ 세계 1위 유튜버…동료 성범죄·조작 논란,김유민 기자,세계,0
서울신문,20240801,2,“애도 아니고 왜 우냐” 자국팬들도 혀 내두른 日선수…패배 후 결국,윤예림 기자,세계,0
서울신문,20240801,3,“남편이 40일 굶겨” 쇠사슬에 묶인 채 정글서 발견된 50대 美여성,이정수 기자,세계,168
서울신문,20240801,4,“쌀 일찍 동날 수도” 마트 갔더니 ‘충격’…맛있다던 日쌀 결국,윤예림 기자,세계,0
서울신문,20240801,5,[단독] “코로나 거품 꺼져… 연쇄폭탄 터질 것”… ‘파산’ 바보사랑 운영자의 뒤늦은 후회,박상연 기자,사회,40
